cohort_id,institution,module,n_students,n_failed,pass_rate,mean_cum_clicks
oviedo_C190_1415,Oviedo,C190,112,61,0.45535714285714285,167.97321428571428
oviedo_C1978_1415,Oviedo,C1978,164,46,0.7195121951219512,76.53658536585365
oviedo_C2011_1415,Oviedo,C2011,120,26,0.7833333333333333,70.03333333333333
oviedo_C2024_1415,Oviedo,C2024,327,52,0.8409785932721713,99.3302752293578
oviedo_C2150_1415,Oviedo,C2150,106,41,0.6132075471698113,275.77358490566036
oviedo_C2271_1415,Oviedo,C2271,596,247,0.5855704697986577,73.11744966442953
oviedo_C2335_1415,Oviedo,C2335,428,290,0.32242990654205606,9.282710280373832
oviedo_C2406_1415,Oviedo,C2406,133,83,0.37593984962406013,205.3609022556391
oviedo_C2468_1415,Oviedo,C2468,82,41,0.5,86.45121951219512
oviedo_C2607_1415,Oviedo,C2607,277,204,0.26353790613718414,21.342960288808666
oviedo_C3022_1415,Oviedo,C3022,238,68,0.7142857142857143,11.15126050420168
oviedo_C3029_1415,Oviedo,C3029,231,76,0.670995670995671,73.4069264069264
oviedo_C4189_1415,Oviedo,C4189,128,60,0.53125,0.7734375
oviedo_C4213_1415,Oviedo,C4213,140,59,0.5785714285714286,320.40714285714284
oviedo_C836_1415,Oviedo,C836,87,44,0.4942528735632184,70.05747126436782
